product_title,product_category,price,product_id
Naruto Frog Coin Purse,Apparel,38.88,0
Naruto Frog Coin Purse,Apparel,32.5,1
Naruto Frog Coin Purse,Apparel,41.88,2
Naruto Frog Coin Purse,Apparel,50.65,3
Naruto: Frog Plush Coin Purse,Apparel,24.58,4
Lansky Standard Knife Sharpening System Kit,Apparel,22.47,5
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,7.1,6
Naruto Frog Coin Purse,Apparel,25.39,7
Naruto Frog Coin Purse,Apparel,72.87,8
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,72.53,9
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,39.61,10
KEEN Men's Newport Sandal,Apparel,16.2,11
Swatch Ladies Watches YSS222G - WW,Apparel,32.61,12
Swatch Ladies Watches YSS222G - WW,Apparel,29.16,13
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,55.64,14
Swatch Ladies Watches YSS222G - WW,Apparel,97.5,15
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,88.3,16
Swatch Ladies Watches YSS222G - WW,Apparel,95.8,17
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,40.39,18
Swatch Ladies Watches YSS222G - WW,Apparel,96.99,19
Pink Floyd Dark Side Of The Moon Album Cover Spinner Key Chain,Apparel,24.43,20
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,22.33,21
Naruto: Frog Plush Coin Purse,Apparel,36.1,22
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,61.35,23
Swatch Ladies Watches YSS222G - WW,Apparel,83.9,24
RAM Mounts RAM Double Socket Arm for 1in. Ball Bases RAM-B-201U,Apparel,23.9,25
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,56.25,26
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,18.51,27
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,37.99,28
RAM Mounts RAM Double Socket Arm for 1in. Ball Bases RAM-B-201U,Apparel,48.84,29
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,27.88,30
Pink Floyd Dark Side Of The Moon Album Cover Spinner Key Chain,Apparel,85.29,31
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,3.79,32
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,72.13,33
Swatch Ladies Watches YSS222G - WW,Apparel,24.94,34
Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,25.25,35
