marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41615664,R3KVSQ0N35WZP1,B000N75SNO,410955794,Naruto Frog Coin Purse,Apparel,5.0,10.0,10.0,N,N,Enjoyed the product,It is an exact replica of from the one Naruto carries. It is well built and sturdy. I have it stuffed to the top with coins and it shows no signs of breaking. I recommend it!,2007-04-05
US,33472085,R38NVAAY5N4XAL,B000N75SNO,410955794,Naruto Frog Coin Purse,Apparel,5.0,0.0,0.0,N,N,Cute little coin purse!,"This coin purse is really cute, and looks EXACTLY like the one that is featured in the Naruto series. It's built well and can hold many coins. My ONLY gripe with it is that it's kind of small - the one in the anime is a bit bigger, so I thought the one I was buying would be too. But, I suppose it's 'standard coin purse size', so I don't mind that much. Overall, I love mine and use it all the time!<br />:)",2007-12-11
US,11069193,R301T0FUCXZ1IN,B000N75SNO,410955794,Naruto Frog Coin Purse,Apparel,1.0,8.0,12.0,N,Y,RIP OFF!,"Total Mis-representation of the Product! Product pictured is premium quality with chain and googley eyes - product received was cheapy felt knock off! I ordered 3 of these for Christmas presents. They took forever to ship and when I received them I was sooo bummed at the poor quality and embarrassed to give them as gifts. This vendor was not the only one to mis-represent this same product! Shame on you, Amazon.",2008-01-08
US,12853222,R3GXA0Z0MGJ4EZ,B000N75SNO,410955794,Naruto Frog Coin Purse,Apparel,4.0,2.0,2.0,N,Y,It is very similar to Naruto's coin purse!!!,I am happy with this item because it is very simmilar to Naruto's.<br />The materials are strong and nice details!!!,2008-06-16
US,43667443,R1GFV1Q9D9MQZH,B000R0CED4,410955794,Naruto: Frog Plush Coin Purse,Apparel,5.0,0.0,0.0,N,Y,Great!,It came in the mail quickly and efficiently. Beautiful condtion. Thank you so much for the business.,2009-01-15
US,52032516,R3IYYYA8XUO7E9,B000E92KVY,443824861,Lansky Standard Knife Sharpening System Kit,Apparel,3.0,3.0,5.0,N,N,Tough to get a razors edge,"The sharpening system is a good one, but it is tough to get that razors edge I was trying to achieve.  I have very high quality knives and I was looking for a sharpening kit to have the same quality.  It takes some getting used to however, knowing what I know now I would have spent a little more and purchased a higher quality system.",2009-01-25
US,51294481,R2ZN2MI06CZS70,B0019M2ITY,318033085,Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,3.0,0.0,0.0,N,Y,This is not a toy!,"I have no idea why this watch is being categorized as a toy.  However,it is pretty enough, and performs its function of keeping time very well.  A bit gaudy, but you can easily dress an outfit up or down with this accessory.",2009-05-26
US,44649223,R3JE1ECPQ4L9Z8,B000N75SNO,410955794,Naruto Frog Coin Purse,Apparel,5.0,0.0,1.0,N,Y,Fan Favorite,this is the 2nd one of these that we have ordered for friends birthdays.  Product is accurate to show.,2009-06-08
US,12336638,R3FYLTLG2QH5MD,B000N75SNO,410955794,Naruto Frog Coin Purse,Apparel,3.0,4.0,6.0,N,Y,Not happy...,"So I was told I needed a naruto frog coin purse with googlely eyes for my younger cousins birthday. So I of course came to Amazon and searched it. This was the first one that came up and when I looked at it, it was perfect. So I ordered it and it shipped fast at least, but when I opened the bag it came in, the frog looked almost NOTHING like the picture that is posted for it. I would return it and get another one from a different seller if I didn't need it in 3 days for the birthday party.",2009-06-18
US,28679490,R351AW48PADIYX,B0019M2ITY,318033085,Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,4.0,11.0,11.0,N,N,Pretty watch,"This is my first Swatch watch, and I like it a lot!  The design is very pretty.  The face of the watch looks beautiful, with the numbers 12, 3, 6, and 9 named, and with the other hours as little blue and pink gems.  The band consisting of smaller links and links that look like a leaf with gems, and pretty circles (see picture above).  I was worried about the links falling off because they are a little thin, but I've had this watch for a few months now, and no problems there.  Just make sure that if you do get wrist adjustments done at a Swatch store (or another watch store), that they secure the little rods holding the links, otherwise the links will fall apart.    My only complaints are that the face is susceptible to scratches if you aren't careful (it's plastic), and the ticking of the watch can be a bit loud in a silent room.    Other than those minor complaints, this is a good women's watch.  I've gotten compliments about my watch from a lot of my girl friends!",2010-01-29
US,15874949,R3ERCNZP00FBTG,B0019M2ITY,318033085,Swatch Women's Menthol Tone LK292G Silver Stainless Steel Swiss Quartz with Silver Dial,Apparel,4.0,0.0,0.0,N,Y,Discrete and modern,"This watch is modern, small and the crystal accessories makes it a good choice, and has a good price.<br /><br />For the price this watch is a good choice, Nothing exuberant, simple, modern, and looks good.",2010-06-09
US,39989170,R1YBCF3OWNDSI5,B000MQYLQQ,364052641,KEEN Men's Newport Sandal,Apparel,5.0,0.0,0.0,N,Y,KEENly Addictive...,Love wearing this everyday which I bought a year ago. Can't wait for it to wear out that I bought another Newport H2!,2010-08-06
