marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,25092637,R34EE3HJDDJX86,B000067QMD,137471145,Philips AVENT BPA Free Classic Bottle Sealing Discs,Baby,5.0,13.0,15.0,N,Y,Works fine.,"Does what it's supposed to do, doesn't leak.  I find it very convenient that you can turn your bottles into storage containers. I recommend the whole Avent line from the pump to these sealers.",2006-08-20
US,50389675,RFLJJ3MABLRKD,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,1.0,8.0,11.0,N,N,Had hoped it would be good,"This mobile looked and sounded (from the description) like a great mobile.  Our son loves to watch things move and loves animals.  Unfortunately the music was SO soft even on the loudest setting and the mobile itself was SOOOO slow that it would not keep his attention at all.  Looks like a great mobile but just didn't live up to its description.  Also, if you have a crib that does not have straight sides (e.g. there are some curves) the mobile attaches to it but it's very temperamental when it comes to the movement - you have to move the mobile to try to get it to work.  Not the best unfortunately.",2006-11-14
US,16010372,R14F8J92YHUNWU,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,4.0,2.0,3.0,N,N,Son loves it,"My son loves this mobile, it is a bit quiet but still keeps his attention and he loves to watch the leaves and animals move around.",2006-12-01
US,35437028,R1CLUJ2WO6CJI2,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,2.0,6.0,8.0,N,N,Child loves mobile but two were defective,"Our daughter loves the mobile, she laughs every time the peek-a-boo leaves open to reveal the animals. Unfortunately both mobiles that we have bought have failed, none of the music buttons will work except the forest sounds. The sound is also very soft.",2007-01-06
US,34597570,R27BEUH3YQMU5V,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,5.0,6.0,8.0,N,N,Love it!,"We bought this for my 3 month old son and he loves it.  There are many nights that he has fallen asleep by watching the peek a boo leaves open and close.  I think the level of volume is perfect.  After reading some of the other reviews, I was a little hesitant to order it, but remember- <br />It is not supposed to stimulate your baby!  It is to lul them to sleep!  I also like that you can remove the mobile part and leave the the base on just for the classical songs. <br />I would recommend this product-like I said I love it!",2007-01-09
US,48203467,R3JJZC2JFRV0T9,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,5.0,4.0,5.0,N,N,My son loves this mobile!,"This mobile sends him off to sleep every time.  I love that the music lasts so long--with the wind up ones, he would just start to settle down when it would shut off.  There are two volume levels; usually the quieter one is enough for bedtime.  My only (minor) complaint is that the remote control for it makes a loud clicking sound when you press it (enough to make him stir, but not wake up).",2007-01-20
US,51772593,R1E5BOKXU95XGX,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,5.0,252.0,259.0,N,N,I chose this one because it's soothing,"I compared reviews on this mobile along with the TinyLove mobile called Symphony in Motion and the Fisher Price Ocean Wonders mobile.  I really like the fact that Symphony in Motion is award winning but the biggest drawback to that one is the fact that it can actually keep babies awake because of how active it is.  And I like the Ocean Wonders mobile because of the ceiling projection but the drawback there is that people said you pretty much have to have the room pitch black dark to see those images well.  Since we keep a night light on for our little one, we decided against that one too.  In the end, we chose the Fisher Price Rainforest mobile because it seemed to be the most soothing and we were NOT disappointed.  She tries hard to stay awake and watch the leaves go and colorful animals go round and round.  But there's something about the slow speed of the rotation along with the jungle noise and/or classical music that just makes her drowsy everytime.  My husband and I are VERY pleased with this purchase.",2007-02-13
US,11266862,R3N64XCQLBCNXG,B000I2MRHE,23070274,Lamaze Spin & Explore Garden Gym (Discontinued by Manufacturer),Baby,5.0,5.0,6.0,N,N,I want one!!,"If they made one of these things for adults, I'd get one!!  My daughter LOVES this thing.  It's got that crinkle-sounding paper that babies seem to love, and spins really easily. The colors are really bright and everything is easily accessable for little arms and hands.  I have already told my pregnant friends that they need to get one of these!",2007-03-26
US,16814352,REP7JNYR7I6K4,B000I2MRHE,23070274,Lamaze Spin & Explore Garden Gym (Discontinued by Manufacturer),Baby,5.0,24.0,26.0,N,N,held head up in days,"My newborn hated tummy time on the floor. Would lay his head down and just cry, just like my daughter had. I bought the lamaze spin and explore, and he loved it. Within days, he could hold his head all the way up for minutes at a time, and now that he is four months old, he spins himself around playing with the different toys attached. Great buy!",2007-04-07
US,12001893,R3OGGC4GVKXHZE,B000JIHP88,557638738,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,Baby,4.0,4.0,5.0,N,Y,Plenty loud enough,"Check to see if the crib or play-yard you intend this for will actually work with it.  When mine didn't, I decided to attach it (secure and safe) to my headboard.  Curious about reports that it's not loud enough, I laid down and had a listen.  It's plenty loud enough, even at a distance of 2.5 feet overhead.  Remember, your infant hasn't spent time in front of the speakers at a Counting Crows concert!  When the baby (9 weeks old) finally got a shot at it, he was enchanted, stimulated, very excited.  So much for soothing -- but it's wonderful to know that while I'm having to fold laundry he's watching the bright colors and listening to lovely music.  A great addition to the day with baby...",2007-04-08
