marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,49466288,R2K7WQB6RRHOE8,B000052YOX,511183947,"Neutrogena Oil-Free Moisture, Sensitive Skin, 4 Ounce (Pack of 2)",Beauty,5.0,23.0,25.0,N,N,"Very simple, easy-to-read book - fantastic!","What a great book!<br /><br />Laid out extremely well, with all the concepts explained very simply and well put together.<br /><br />A quick read of this book will yield great benefits in saving you time and helping you prioritise.<br /><br />A \\""must\\"" for your business book collection.",2006-04-21
US,18179253,R1VOL32UEWBQJZ,B000ETQ18W,494691696,Creamy Avocado Body Cleanser,Beauty,4.0,1.0,1.0,N,N,"Not perfect, but so entertaining that doesn t matter too much...","\\""Underworld: evolution\\"" is the sequel to \\""Underworld\\"", the supernatural thriller regarding an old feud between vampires and lycans, and as such is more of the same. By that, I mean uncomplicated fun for those who from time to time enjoy watching a fast paced film that has elements of fantasy in it, and that lacks food for thought but makes up for that with lots of entertainment value.<br /><br />Are you, like me, one of those people I mentioned above? If the answer is no, do not lose your time, this film is probably not the right one for you. If the answer is yes, I recommend you watch this movie, but only after having enjoyed the first one.<br /><br />Now I am going to talk a little about the plot of \\""Underworld: evolution\\"", so if you still have to watch the first movie in the series stop reading now, in order to avoid spoilers. The plot of this sequels picks up where the last one left off, and does an excellent job of allowing us to catch up with Selene (Kate Beckinsale), the beautiful vampire death-dealer, and Michael (Scott Speedman), the young lycan she has feelings for. Michael was turned by Selene into a hybrid of lycan and vampire in order to be saved from certain death, but that act of defiance and the fact that Selene killed an ancient vampire ruler to protect Michael, means that they are both on the run.<br /><br />But what exactly has Michael turned into, and will they be able to survive? And what will happen when Marcus (Tony Curran), another of the vampire elders, turns into a hybrid of a different kind, and finally achieves the power to free his dangerous brother, William (Brian Steele)? Things become even more complicated when we find out that Marcus was the father of all vampires, as William was the father of all lycans. On top of everything, Marcus and William s father, Alexander Corvinus (Sir Derek Jacobi), decides to meddle and help Selene and Michael to stop his sons. The alternative is chaos, and a world full of crazed lycans running free and wreaking havoc.<br /><br />In my opinion, Len Wiseman (director) and Danny McBride (scriptwriter) did a great job filling some of the blanks left in the first movie, and continuing to tell us about an alternate universe where vampire and lycans fight for supremacy among mankind. The result is that their story is more believable, and thus more engaging.<br /><br />All in all, I can say that I really enjoyed watching this film, and that I believe that is even better than the first one. Of course, \\""Underworld: evolution\\"" is not perfect, but it is so entertaining that does t matter too much. Highly recommended!<br /><br />Belen Alcat<br /><br />PS1: To Len Wiseman,please hurry up and make another sequel, I want to know what happens next to Selene and Michael :)<br /><br />PS2: To parents, this movie has quite a lot of violence and a nude scene, so it is not adequate for children.ree and wreaking havoc.  <br /> <br />In my opinion, Len Wiseman (director) and Danny McBride (scriptwriter) did a great job filling some of the blanks left in the first movie, and continuing to tell us about an alternate universe where vampire and lycans fight for supremacy among mankind. The result is that their story is more believable, and thus more engaging.  <br /> <br />All in all, I can say that I really enjoyed watching this film, and that I believe that is even better than the first one. Of course, \\""Underworld: evolution\\"" is not perfect, but it is so entertaining that does t matter too much. Highly recommended!  <br /> <br />Belen Alcat  <br /> <br />PS1: To Len Wiseman,please hurry up and make another sequel, I want to know what happens next to Selene and Michael :)  <br />PS2: To parents, this movie has quite a lot of violence and a nude scene, so it is not adequate for children.  <br />",2006-04-23
US,51078519,R2G1HDV90PA7G7,B0000632EN,233983916,Aveeno Aveeno Active Naturals Skin Brightening Daily Scrub,Beauty,5.0,18.0,24.0,N,N,absolutely beautiful!,This film is a shattering powerhouse of emotion but crafted in such a way as to gently pull the rug from under your feet and place a cushion under your bott as you come to rest. Box of tissues essential. A gem,2006-04-30
US,43542613,R2J5IBKWM5M55O,1415717214,817566555,Beverly Hills 90210 - The First Season [DVD],Beauty,5.0,0.0,0.0,N,Y,Great show. Enjoyable.,"I never watched the show when it aired, but the reruns caught my attention years ago. I enjoyed the episodes, and they were compelling. Recently, I decided to pick up the DVDs of Season One, and I've enjoyed the show once again. Again, the acting is impressive given what they had to work with. It's much better than anything that's on television the past decade. I wanted to make a commentary of some of the episodes. First thing I noticed is how many characters appear in one episode and then be never seen again. Having said that, notice how Brandon Walsh averages a woman per show. He is also a cheat, liar, racist, and drunk driver who could have killed somebody. He is easily pissed off and starts taking somebody's head out if slightly provoked. He acts like a saint with a conscience yet he is the biggest hypocrite I've seen on the show. At this point, I have a hard time debating who is worse: him or Brenda. She seems to have the flair of being so melodramatic, no matter the situation. She tries to take advantage of every opportunity to make the parents to feel worse by creating useless spats. I actually feel sorry for the parents, and I question their ever flowing leniency. On the other hand, I liked the rest of the characters, and they seem to be fine to me, even if they have innocuous glaring faults except for Steve Sanders. One episode \\""One on One,\\"" Brandon makes the basketball team yet we never see him playing basketball ever again in the rest of the season. Another episode where Brandon discovers how lowly paid the third world workers are, and he decides to write a report on the owner of the caf&eacute;. So what happened? Really...I am still amazed how the other characters suddenly get dropped out like flies after showing up for one episode. I was thinking also where were the friends of Kelly, Donna, Andrea, Steve because it's impossible that, given their popularity in school, they were friendless before the Walshes moved in Beverly Hills. Meanwhile, I liked the issues such as AIDS, breast cancer, alcoholism, patricide, and homosexuality were brought up in 90210, and they speak for the show's integrity. I know there is a lot of morality problem with the show while the characters delve themselves in the immoralities of life and still think they lead a life of morals. It's a tricky thing; however, the show is watchable regardless. That's why I enjoy it. For the DVD, it has been good, and letting you know, the pilot episodes are actually contained in the Season One package. That means you don't need to buy a separate DVD of the pilot show.such as AIDS, breast cancer, alcoholism, patricide, and homosexuality were brought up in 90210, and they speak for the show's integrity. I know there is a lot of morality problem with the show while the characters delve themselves in the immoralities of life and still think they lead a life of morals. It's a tricky thing; however, the show is watchable regardless. That's why I enjoy it. For the DVD, it has been good, and letting you know, the pilot episodes are actually contained in the Season One package. That means you don't need to buy a separate DVD of the pilot show.",2010-06-30
US,51464523,R2Z8E76NC072NX,B001EVNMTK,441833102,Braun Series 3 Shaver Cassette Silver 32S,Beauty,5.0,0.0,0.0,N,Y,Like new again,Right outta the box and onto my razor in just a few minutes.  My shaver works like it did when it was new.,2011-03-30
US,49515624,R3S4SWC1HUPBXJ,B001EVNMTK,441833102,Braun Series 3 Shaver Cassette Silver 32S,Beauty,5.0,0.0,0.0,N,Y,Great Value,Can't beat the price nor speed of delivery. Condition of item was great and works prefect in shaver.  Would recommend this to others that are looking to save money.,2011-03-31
US,20901811,R1XKX6QSXUTJOD,B001EVNMTK,441833102,Braun Series 3 Shaver Cassette Silver 32S,Beauty,1.0,0.0,0.0,N,Y,Not the right one...,This item did not fit my shaver despite being labeled for the Series 3. Apparently mine does not take cassettes.,2011-08-30
US,26092025,R3GVW2R8KX5WU1,B001EVNMTK,441833102,Braun Series 3 Shaver Cassette Silver 32S,Beauty,5.0,0.0,0.0,N,Y,Great,These are sadly hard to find in any store.  But I got em here and my husband uses it everyday!,2012-07-26
US,30869253,RBJ92NS6Q3M76,B001EVNMTK,441833102,Braun Series 3 Shaver Cassette Silver 32S,Beauty,5.0,1.0,1.0,N,Y,Replace razor head every year,It is very important to replace the head as Braun recomends. It really works. Shaves like a new razor.I guess reading the directions is important. I was ready to get a new razor.,2012-09-20
US,52024176,R1JH0LBH402446,B0051VH1EG,837268813,Curly Girl The Handbook,Beauty,5.0,0.0,0.0,N,Y,Help for Curly girls!,This booked helped me learn about the care and maintenance of my wavy hair and I finally have consistent 'good hair' days.<br /><br />The DVD that comes with it demonstrates the techniques described in the book.,2012-10-23
