marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,25644003,RO6XPM6SP5XDG,B000MPOF4K,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,3.0,2.0,2.0,N,N,Traditional Afternoon not English Afternoon,"There is no real description, so ....<br /><br />Traditional Afternoon is a blend of Kenyan, Assam, and Ceylon teas from the 'Direct From England' line. It is bright, full-bodied and strong. [It is close to the English Breakfast blend.]<br /> Traditional Afternoon is bold, brisk and refreshing.<br /><br />Twinings Classics line blends Keemun and Ceylon teas for their English Afternoon Tea.<br /><br />Keemun is considered to have the best flavor and one of the best aromas.<br />[It is what the Queen drinks. That's a good thing.]<br /><br />Description:<br />[[ASIN:B000F4DKAI Twinings English Afternoon Tea, Tea Bags, 20-Count Boxes (Pack of 6)]]is a medium-based blend of Keemun and Ceylon black teas and has a medium flavor strength.<br />A brisk and lively black tea with the flavor of smokiness and earthiness combined with elements of sweetness.<br /><br />Both of these teas are excellent, BTW.",2009-12-05
US,21714446,R1PJPE9N4PLOJ9,B000MPOF4K,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,5.0,3.0,3.0,N,N,Delightful Full Flavor Strength - Perfect for the Afternoon!,"This tea is very unique as a blend of African/Kenyan, Assam, and Ceylon teas. This is definitely \\""Best enjoyed with milk.\\"" as the full-flavor strength balances well even with heaps of milk. This is especially useful if generous with adding milk to hot beverages, as I am! Even without milk, the tea is suprisingly smooth for being a strong tea which makes it unlike many other black teas I've tried.<br /><br />Although it doesn't appear to indicate Full Flavor Strength on the packaging pictured here, the blends are indentical to slightly different packaging by the same brand in Australia. Here they indicate it is Full Flavor Strength with five filled tea leaves on the front of the package.<br /><br />It appears based on the information on Amazon that this tea is a cross between the [[ASIN:B000F4H5GI Twinings Irish Breakfast Tea, Tea Bags, 20-Count Boxes (Pack of 6)]] (Ceylon and Assam)and the [[ASIN:B000F4F952 Twinings English Breakfast Tea, Tea Bags, 50-Count Boxes (Pack of 6)]] (Kenyan and Assam ) and yet this is an afternoon tea. However not to be confused with [[ASIN:B000F4DKAI Twinings English Afternoon Tea, Tea Bags, 20-Count, 1.41 oz. Boxes (Pack of 6)]] (Keemun and Ceylon) which is entirely different and probably tastes different enough too.",2010-05-20
US,49837929,R19XPVD0PSSEBS,B000MPOF4K,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,5.0,1.0,1.0,N,Y,Very nice tea - great for the afternoon,I am a fan of most Twinings teas and bought the Traditional Afternoon not having tried it before. I was not disappointed.  I find it is a nice pick-me-up at work in the afternoon.  The only complaint I have is that it is not available in the US.,2012-10-22
US,37596978,R26A9UUTO9CYLV,B0006TLA1I,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,1.0,0.0,7.0,N,N,tea bags coated with toxic chemical,"All twinings tea bags are coated with epichlorophydrin (per Twinings!), which has been implicated in infertility and suppressed immune function per Dr. Mercola.  I would avoid all twinings bags and stick with loose tea.  Their tea quality otherwise excellent.  Product ordered from Amazon by a friend, as a gift to me.",2013-05-07
US,15436250,R1Q2LU3U364ELN,B001APXLOG,398952310,Workman Press Ben + Jerry's Ice Cream,Grocery,5.0,0.0,0.0,N,N,Mmmmmmm,Ben & Jerry's recipes are out of this world;). If one has the patience and passion for better tasting ice cream then one should consider the purchase of this book.<br />v/r<br />c5load,2013-07-23
US,26384498,R19VSPT81M1ZLG,B001APXLOG,398952310,Workman Press Ben + Jerry's Ice Cream,Grocery,5.0,0.0,0.0,N,Y,Great Recipes! Great Sellor!,The book arrived timely and was in perfect condition.<br />The recipes are easy to follow and have turned out delicious ice cream.<br />I would recommend the book and book seller to everyone.,2013-07-27
US,52817921,R2MOH3GCJ7GLVK,B001APXLOG,398952310,Workman Press Ben + Jerry's Ice Cream,Grocery,5.0,0.0,0.0,N,N,Excellent Book for the Beginner,"This book is dated but ice cream making hasn't changed much. It contains a plethora of simple ice cream and sorbet recipes. There's even a couple of baking and sauce recipes. Many people will take issue with the fact that the base recipe does not direct you to cook your egg mixture, however, I simply heat my eggs, milk, and sugar until almost boiling. Then I add the heavy cream, etc, and cool the mixture. Simple. You will find every flavor you could want and some you might not want. I've tried half a dozen recipes and have loved each one. This is a great reference book. Enjoy!",2013-10-11
US,52940440,R3QA6JRHC6W30N,B0006TLA1I,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,5.0,0.0,1.0,N,Y,Excellent Tea,"I love this tea.  I generally drink it for breakfast (and I prefer Irish breakfast tea in the afternoon, go figure), very strong and with no milk added.  I find it is a bit lighter than other teas I drink (primarily Assam and the aforementioned Irish breakfast tea), but by no means weak or flavorless.  It does not get bitter or develop off flavors when brewed up strong, a quality much appreciated since I don't add anything to my tea.  It is very smooth and pleasant.  (I've just now taken a sip of this  tea which has been sitting in my teapot, with the tea bags, for over two hours and it is mellow, almost silky, and yes, still hot.  God bless tea cozies.)<br /><br />If you enjoy Twinings Irish Breakfast Tea, English Breakfast Tea, or any of the teas which make up this blend (Kenyan, Ceylon, and Assam I believe, although my package is no more specific than &#34;Africa, Sri Lanka, and India&#34;) you should consider giving this a try.",2013-12-29
US,46976508,RRCU3R08YEQ7V,B001APXLOG,398952310,Workman Press Ben + Jerry's Ice Cream,Grocery,5.0,0.0,0.0,N,N,Ice Cream,I love this book. It's has a lot of great tips on making Ice Cream with great recipes. I also loved learning about<br />Ben and Jerry and how they started.,2014-06-23
US,1519258,R1MQMGWOGUHK39,B0006TLA1I,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,5.0,0.0,0.0,N,Y,great product,"extremely quick service, great product",2014-07-03
US,14807924,R1P66E5QKGP57,B0006TLA1I,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,3.0,0.0,0.0,N,N,Three Stars,Mild but had a bit of chalk taste left on tongue.,2014-10-24
US,38792520,RYUBNXM147JTK,B0006TLA1I,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,5.0,0.0,0.0,N,Y,My absolute favorite tea. It is full bodied but not bitter,My absolute favorite tea.  It is full bodied but not bitter. I drink this one all day. Thanks for a great product and easy availability.,2015-02-17
US,48117242,R3T4IPUP11MKTX,B0006TLA1I,371559044,Twinings Classics Traditional Afternoon Tea / 50 Tea Bags / 100g / 3.5oz.,Grocery,5.0,0.0,0.0,N,Y,Five Stars,Just what I wanted.  Thank you.,2015-03-04
