marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,50785588,R240T6PE957SD9,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,4.0,121.0,134.0,N,N,I'm changing my initial 4 stars to ZERO,"After using it maybe a total of 7 times it no longer works.  Yes, it has a warranty but as another reviewer put it - is it really worth spending the money for s/h?  Don't waste your money!  I just basically threw away 40 bucks.",2005-05-19
US,41044054,R1CJU3M6FDERSO,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,5.0,16.0,20.0,N,Y,Keeping the housekeeper happy.,We have mostly wood laminate and vinyl floors in our house. We also have 3 parrots and 1 Corgi puppy. Keeping up with dirty floors is a challenge. The Swivel Sweeper has swept away the competition. I am delighted.,2005-07-03
US,50872012,R1GN3KRBAW4SKB,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,5.0,15.0,17.0,N,N,Love it!,"I was a bit skeptical about this product, but decided to try it any way.  I am very happy with it!  It does just what it says - spins into hard to get to areas, picks up everything, etc.  Even on carpet it works, however you have to go a bit slower.  Perfect for linoleum and tile. The tray does have to be emptied frequently but it is so easy to do.",2005-07-05
US,33886788,R2F5V0FE4ARXVJ,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,4.0,419.0,428.0,N,N,Decent Product but Oversold on the Commercial,"Updated: January 7, 2006<br /><br />I have now owned the product for six months.  I have nothing to change in my review.  I am surprised that people are having so many problems with this product.  My unit still works fine; the battery holds a charge; the pole has not broken; the handle has not broken.  Maybe my unit is not typical.  However, you do need to have realistic expectations for this product.  The Swivel Sweeper is not a new revolutionary cleaning apparatus worthy of a patent (as the info commercial implies).  It is just an electric sweeper for quick clean ups.  If you want the thorough results that a vacuum provides--use a vacuum.<br /><br />Original Review<br />I have owned my Swivel Sweeper for two weeks.  If you are looking for something better than your dust pan, this is the product for you.  If you are looking for something to replace your vacuum cleaner, you are going to be disappointed.  The pros: light weight, high quality, cordless, rechargeable, easy to use, maneuverable.  The cons: overpriced, can't ever replace a vacuum, time-consuming periodic cleaning.  The product is just what I was looking for: a cordless, rechargeable, electric dust pan that I could keep in the kitchen next to the refrigerator and pull out twice a week and sweep the kitchen floor.  I have a light colored tile floor and it shows every little particle of dirt.  In addition, my cat spreads Friskies on the floor and the sweeper picks up those nicely.  The Swivel Sweep is a fairly high quality product.  All the parts look well designed, fairly durable (they are just plastic), and fit together well.<br /><br />The Swivel Sweep is oversold on the info commercial (as to be expected).  It will never take the place of a vacuum cleaner.  It is not a vacuum cleaner.  It creates no suction.  It is simply a sweeper.  I would summarize it as an electric dust pan.  The product has four rotating brushes that sweep items into a small centralized dust pan with openings on all four sides.  The Swivel Sweeper is much quieter than a traditional vacuum cleaner; however, one would not use it in a room with a sleeping baby as advertised--it is not that quiet.  It makes a tone with medium-high pitched whine.  The picture on the box shows the product being used to sweep dirt from a carpet after a house plant has been toppled--forget it!  That is not a good use of this product.  Use a real vacuum cleaner for that job.  This product is really only effective on hard surfaces.  A dust pan is not what I would use on a carpet.  Yes, you could pick up small items sitting on the surface of a carpet like paper clips, but realistically, to clean a carpet adequately, one should use a vacuum cleaner with strong suction and a powerful beater brush to separate the carpet strands.  The Swivel Sweeper has neither of these.  The Swivel Sweep is not comparable to a real vacuum cleaner.  The Swivel Sweeper has problems picking up some very small items even on hard surfaces.  Sometimes an item will shoot across the floor instead of going into the dust pan.  I find myself going over the same area multiple times to pick up some items (but no big deal).<br /><br />Because the product is fairly new, it is a bit overpriced.  I think $29 would be more appropriate.  I would expect to see it at Target in a year or two for $19.95.  Emptying the dust pan is easy.  Cleaning the sweeper is not.  The Swivel Sweeper comes with a \\""cleaning tool\\"" which is nothing more than a thread cutter/seam ripper (if you know what that is).  Hair (human hair) gets wound around all four brushes and needs to be periodically cut and vacuumed out.  The manual says \\""on occasion\\"" this cleaning need to be done.  The manual indicates the battery will last 45 minutes on one charge.  That seems reasonable since I am still on the original charge and have used the sweeper about 10 times.<br /><br />Overall, I am pleased with the product.ch quieter than a traditional vacuum cleaner; however, one would not use it in a room with a sleeping baby as advertised--it is not that quiet.  It makes a tone with medium-high pitched whine.  The picture on the box shows the product being used to sweep dirt from a carpet after a house plant has been toppled--forget it!  That is not a good use of this product.  Use a real vacuum cleaner for that job.  This product is really only effective on hard surfaces.  A dust pan is not what I would use on a carpet.  Yes, you could pick up small items sitting on the surface of a carpet like paper clips, but realistically, to clean a carpet adequately, one should use a vacuum cleaner with strong suction and a powerful beater brush to separate the carpet strands.  The Swivel Sweeper has neither of these.  The Swivel Sweep is not comparable to a real vacuum cleaner.  The Swivel Sweeper has problems picking up some very small items even on hard surfaces.  Sometimes an item will shoot across the floor instead of going into the dust pan.  I find myself going over the same area multiple times to pick up some items (but no big deal).    Because the product is fairly new, it is a bit overpriced.  I think $29 would be more appropriate.  I would expect to see it at Target in a year or two for $19.95.  Emptying the dust pan is easy.  Cleaning the sweeper is not.  The Swivel Sweeper comes with a \\""cleaning tool\\"" which is nothing more than a thread cutter/seam ripper (if you know what that is).  Hair (human hair) gets wound around all four brushes and needs to be periodically cut and vacuumed out.  The manual says \\""on occasion\\"" this cleaning need to be done.  The manual indicates the battery will last 45 minutes on one charge.  That seems reasonable since I am still on the original charge and have used the sweeper about 10 times.      Overall, I am pleased with the product.",2005-07-12
US,12614929,R2CY977H3JNIIF,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,2.0,35.0,36.0,N,N,Delayed disappointment,"I owned the Swivel Sweeper for 2 months before it broke.  I would have given it 4 - 5 stars before it broke but not anymore.  It does a great job of getting up all the visible dirt, hair, debris, etc. from hard surface flooring and floormats.  I have no carpet in my house so I cannot rate it on that.  It's easy enough to use that my 3-year old loves to help out.  The problem is that something in the gearbox must have broken because the motor makes noise but the brushes don't turn.  Because I am still in the 90-day warranty period, I was given the option of sending another $12.99 (handling fee) to have the unit replaced or return it for a refund of the $40 purchase price.  I haven't decided yet.  I've already spent ~$55 with the purchase price and ridiculous $15 S&H.  I'm not so sure I want to spend another $20 ($7 to send it to them and $13 handling charge) to get another one.  It's just a little too cheaply built.  I'd expect to pay $15 - $20 for the item at Target/Wal-mart.",2005-08-16
US,18266966,R3N285PVX244DK,0698118308,261968979,Little Cloud,Home,4.0,5.0,6.0,N,N,A book that leaves you with options...,"This book by Eric Carle is a simple book that I believe could be used many different ways.  You could use this book in weather themes, during a cloud unit, or to stretch the imagination. <br /> <br />You could follow this book with an activity in which your children do their own cloud making, possibly out of cotton balls.   <br /> <br />I think that this book is fun and I really enjoy the illustrations.  I would definitely suggest having this book as a part of your classroom library. <br />",2005-09-14
US,12155579,R2VWLPE8Q91TBG,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,2.0,14.0,14.0,N,N,not worth the money,Please save your money. I purchased mine after reading a glowing review.   This items is cheaply made and will not stand up.  I paid $70.CAD  plus shipping and taxes and will send it back.  It does not live up to it's powerful billing.  Dust and cat hair just get blown around.  The canister holds next to nothing.  The two mini sweepers are just a joke.  There must be better products for the money.  On the plus side it is small and easy to manuever and better on carpets than hardwood.  The cons outway any pros.,2005-10-02
US,28824650,R2W8T35W3XOZGD,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,5.0,2.0,6.0,N,N,SUPER SWEEPER,"I have had my Swivel Sweeper for 5 months and LOVE it!  It is great on both carpet & smooth floors.  People need to use the little cutter tool to cut threads that get wrapped around the brushes & empty the dirt tray.   <br />In fact, I am purchasing 3 more for my children as Christmas presents. <br />Great for pet hair...I have 2 little dogs and my sweeper picks up their hair off the carpet & vinyl floor. <br />I do think the shipping is a bit pricey since the sweeper is so light but I have NO regrets!!!",2005-10-24
US,32232194,RNILPZUMRDQES,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,4.0,5.0,6.0,N,Y,Better battery than  Shark sweeper,"I bought 5 Shark sweepers (some replacements, some gifts). I loved them and even saved parts to keep at least one alive. One is still good for 5 minutes at a time. I gave up on them because even the replacement batteries don't last.  <br />  I bought a Swivel Sweeper. The battery is much better, but the sweeper doesn't pick up larger items. It's great for bits and pieces. I do really like it, though. It's not that noisy and light and maneuverable as can be. <br /> OK, maybe the warrantee might be doomed with this, but I've been using both commercially in a restaurant. The Shark was absolutely great for this application. It would pick up glass, french fries, toothpicks, cigarette butts---anything. The swivel sweeper won't (more bending over!) but it's much better at getting in tight spaces under chairs (without having to move them).  <br />  They are  NOT vacuum cleaners. They don't suck dirt out of the carpet. The swivel sweeper is great for quick fixes and so far I haven't had a problem with it at all(4 months).I just wish they (both shark and swivel sweeper) would make a commercial product that would last. I would be willing to pay more. Maybe someone out there could create one that would combine all the good qualities.  <br />  I think anyone with a restaurant should check out swivel sweeper. Even if it isn't NSF!",2005-10-27
US,44638124,R2145PTSHUM683,B0007MWZEK,87719385,Cordless Swivel Sweeper – Original As Seen on TV by Swivel Sweeper,Home,3.0,7.0,8.0,N,N,Good for quick cleanups,"I bought one of these to do quick cleaning when I don't feel like pulling out the upright vac and fighting with the cord.  Works pretty much as advertised, although don't expect it to do more than light removal of loose dirt, crumbs, etc.  It's not going to get up pet fur or ground in dirt. Very light weight and easy to carry up and down the stairs.  Works much better on carpet than bare floors.  It will pick up on hard floors but takes a few passes to get all the dirt.  If you have carpeted stairs, you will find it handy to quickly clean up the steps.  The Swivel Sweeper is simply made and has a dirt tray on the bottom that is easy to snap out and dump.  The battery is easily removable and fits into a wall charger for recharge.  It seems like a well designed product, but I can't comment on reliability because I just purchased it. (The warranty is 90 days.) I would it have rated it at maybe four stars if it were a little less expensive, say about  $25.00. (I think the pretty hefty little rechargeable battery and wall charger is responsible for the higher cost).",2005-11-05
